#,week_label,week_start_monday,week_end_sunday,total_orders,total_revenue,contact_person_name
1,W4,2026-07-20,2026-07-26,7,16.47,ទាដើមចេកម្ជូរកូនម៉ែផ្ទះអ៊ីដា
2,W3,2026-07-13,2026-07-19,190,365.51,ទាដើមចេកម្ជូរកូនម៉ែផ្ទះអ៊ីដា
3,W3,2026-07-13,2026-07-19,94,228.7,ស្ដេច ជ្រូកខ្វៃ
4,W3,2026-07-13,2026-07-19,33,92.52,Yeak Laom Durain
5,W3,2026-07-13,2026-07-19,32,55.09,នំ មាត់ឆ្នាំង
6,W3,2026-07-13,2026-07-19,32,68.55,ស្ដេចជ្រូកខ្វៃ សាខា2004
7,W3,2026-07-13,2026-07-19,26,51.99,Visal Sovatey
8,W3,2026-07-13,2026-07-19,19,43.98,នំមាត់ឆ្នាំងភូមិតាអេង កំពត (សាខាភ្នំពេញ)
9,W3,2026-07-13,2026-07-19,17,28.98,Sabaidee
10,W2,2026-07-06,2026-07-12,98,194.45,ទាដើមចេកម្ជូរកូនម៉ែផ្ទះអ៊ីដា
11,W2,2026-07-06,2026-07-12,70,131.78,ទាដើមចេកម្ជូរកូនម៉ែផ្ទះអុីដា
12,W2,2026-07-06,2026-07-12,58,128.44,ស្តេចជ្រូកខ្វៃ
13,W2,2026-07-06,2026-07-12,42,77.75,នំ មាត់ឆ្នាំង
14,W2,2026-07-06,2026-07-12,39,106.48,Yeak Laom Durain
15,W2,2026-07-06,2026-07-12,39,78.44,Visal Sovatey
16,W2,2026-07-06,2026-07-12,38,100.44,ស្ដេច ជ្រូកខ្វៃ
17,W2,2026-07-06,2026-07-12,26,56.62,នំមាត់ឆ្នាំងភូមិតាអេង កំពត (សាខាភ្នំពេញ)
18,W2,2026-07-06,2026-07-12,17,31.74,Sabaidee
19,W2,2026-07-06,2026-07-12,16,38.44,ស្ដេចជ្រូកខ្វៃ សាខា2004
20,W2,2026-07-06,2026-07-12,10,26.41,Chea Sopanha
21,W2,2026-07-06,2026-07-12,8,20.31,ស្តេចជ្រូកខ្វៃ សាខា2004
22,W2,2026-07-06,2026-07-12,8,20.34,ស្តេចជ្រូកខ្វៃ 2004
23,W1,2026-06-29,2026-07-05,123,256.67,ទាដើមចេកម្ជូរកូនម៉ែផ្ទះអុីដា
24,W1,2026-06-29,2026-07-05,56,118.26,នំ មាត់ឆ្នាំង
25,W1,2026-06-29,2026-07-05,48,117.19,ស្តេចជ្រូកខ្វៃ
26,W1,2026-06-29,2026-07-05,24,48.99,Visal Sovatey
27,W1,2026-06-29,2026-07-05,10,28.03,Phalkun
28,W1,2026-06-29,2026-07-05,8,14.31,DurianXBooking
29,W1,2026-06-29,2026-07-05,7,18.8,Yeak Laom Durain
30,W1,2026-06-29,2026-07-05,7,20.69,Chea Sopanha
31,W1,2026-06-29,2026-07-05,6,9.79,Sabaidee
